task,variety_exposure,word_type,lenient_coder_error_types,n_subj,mean_prop,sd_prop,se_prop,ci
Reading,Dialect Literacy,Contrastive,Correct,80,0.3308333333333333,0.29116261448396225,0.03255296992463522,0.06479506583010522
Reading,Dialect Literacy,Contrastive,Dialect Word Match,80,0.10333333333333333,0.12591158463329094,0.014077343119737823,0.028020250572163802
Reading,Dialect Literacy,Contrastive,Dialect Word Mismatch,80,0.006666666666666666,0.02510176194778492,0.00280646230351323,0.00558612348203084
Reading,Dialect Literacy,Contrastive,Standard Word Mismatch,80,0.04,0.054708021817604584,0.006116542784935272,0.012174673872155988
Reading,Dialect Literacy,Contrastive,Other Mismatch,80,0.5191666666666667,0.2894669916251356,0.032363393525808276,0.06441772344720546
Reading,Dialect Literacy,Untrained,Correct,80,0.35520833333333335,0.3472171237319067,0.03882005458082494,0.07726938580154807
Reading,Dialect Literacy,Untrained,Dialect Word Match,80,0,0,0,0
Reading,Dialect Literacy,Untrained,Dialect Word Mismatch,80,0.0031249999999999997,0.01593184985061205,0.0017812349636644206,0.0035454595078951013
Reading,Dialect Literacy,Untrained,Standard Word Mismatch,80,0.007291666666666666,0.027153228536803325,0.0030358232408439693,0.0060426550079593876
Reading,Dialect Literacy,Untrained,Other Mismatch,80,0.634375,0.3397312554790434,0.03798310906662445,0.07560348742685652
Spelling,No Dialect,Non-contrastive,Correct,80,0.335,0.2782252373535189,0.031106527188924097,0.06191599358272317
Spelling,No Dialect,Non-contrastive,Dialect Word Match,80,0,0,0,0
Spelling,No Dialect,Non-contrastive,Dialect Word Mismatch,80,0.0016666666666666666,0.010473998345914084,0.0011710286148842123,0.0023308741526817767
Spelling,No Dialect,Non-contrastive,Standard Word Mismatch,80,0.08833333333333333,0.09414654764351525,0.010525904018891136,0.020951287867264017
Spelling,No Dialect,Non-contrastive,Other Mismatch,80,0.575,0.3427981162772146,0.038325994527736454,0.07628598386501177
Spelling,No Dialect,Contrastive,Correct,80,0.30666666666666664,0.26826525068621615,0.02999296682677007,0.059699507125769755
Spelling,No Dialect,Contrastive,Dialect Word Match,80,0,0,0,0
Spelling,No Dialect,Contrastive,Dialect Word Mismatch,80,0.030833333333333334,0.07111231978578997,0.007950599053936483,0.01582527155836333
Spelling,No Dialect,Contrastive,Standard Word Mismatch,80,0.10916666666666666,0.11035997868119932,0.012338620716329463,0.024559410198767798
Spelling,No Dialect,Contrastive,Other Mismatch,80,0.5533333333333333,0.3465562953154723,0.038746171717794396,0.07712232564129651
